_id,stadium_name,address,lat,lon,url,distance
63,花巻市クレー射撃場,岩手県花巻市湯口字松沢36,39.4030752,141.0284852,http://www.iwate2016.jp/kokutai_game/clay_shooting#519,
64,一戸町体育館,岩手県一戸町高善寺字大川鉢24-9,40.2130249,141.2954776,http://www.iwate2016.jp/kokutai_game/naginata#718,
65,ビッグハウススーパーレーン,岩手県盛岡市津志田1-1-10,39.6712428,141.1552902,http://www.iwate2016.jp/kokutai_game/bowling#470,
66,岩手沼宮内カントリークラブ,岩手県岩手郡岩手町一方井17-24-1番地,39.9970826,141.1878497,http://www.iwate2016.jp/kokutai_game/golf#645,
67,安比高原ゴルフクラブ,岩手県八幡平市安比高原180-1番地,40.0116737,141.0058905,http://www.iwate2016.jp/kokutai_game/golf#602,
68,南部富士カントリークラブ,岩手県八幡平市大更47-34-2番地,39.9123318,141.1630406,http://www.iwate2016.jp/kokutai_game/golf#605,
69,釜石市根浜海岸特設トライアスロン会場,岩手県釜石市鵜住居町第21,39.3349224,141.8760551,http://www.iwate2016.jp/kokutai_game/triathlon#580,
70,岩手県営野球場,岩手県盛岡市三ツ割4-9-2,39.7291166,141.161374,http://www.iwate2016.jp/kokutai_game/high_school_baseball#473,
71,花巻球場,岩手県花巻市松園町613-1,39.4085199,141.0999769,http://www.iwate2016.jp/kokutai_game/high_school_baseball#522,
72,山田町民総合運動公園野球場,岩手県下閉伊郡山田町大沢13-197,39.5070549,141.9628171,http://www.iwate2016.jp/kokutai_game/high_school_baseball#685,
73,日居城野陸上競技場,岩手県花巻市松園町613-1番地,39.4085199,141.0999769,http://www.iwate2016.jp/kokutai_game/gate_ball#525,
74,平泉町立平泉小学校体育館,岩手県西磐井郡平泉町平泉字倉町155,38.9862538,141.1091585,http://www.iwate2016.jp/kokutai_game/powerlifting#674,
75,盛川河川敷公園,岩手県大船渡市盛町字みどり町40,39.0849481,141.7134294,http://www.iwate2016.jp/kokutai_game/ground_golf#492,
76,ビリヤードBRIDGE,岩手県盛岡市南仙北1丁目21−43 さわや書店仙北店,39.6789795,141.1529406,http://www.iwate2016.jp/kokutai_game/billiards#476,
77,盛岡体育館,岩手県盛岡市上田3丁目17−60,39.7186924,141.1368155,http://www.iwate2016.jp/kokutai_game/martial_arts_tai_chi#479,
78,三陸復興国立公園碁石海岸,岩手県大船渡市末崎町字大浜221-68,38.9924145,141.7411857,http://www.iwate2016.jp/kokutai_game/walking#495,
79,大船渡市内公認マラソンコース,岩手県大船渡市盛町字中道下1-1,39.0797321,141.7156349,http://www.iwate2016.jp/kokutai_game/marathon#498,
80,和賀町岩崎地内夏油高原周辺,岩手県北上市和賀町岩崎地内夏油高原周辺,39.2803414,141.049293,http://www.iwate2016.jp/kokutai_game/hill_climb#539,
81,北上総合運動公園,岩手県北上市相去町高前檀27-36,39.2588339,141.092891,http://www.iwate2016.jp/kokutai_game/flying_disc#545,
82,北上翔南高等学校特設コース,岩手県北上市相去町高前檀13番地,39.2590199,141.0899691,http://www.iwate2016.jp/kokutai_game/flying_disc#547,
